"","Text_ID","Sentence_Number","text"
"1",1,1,"are tourists enticed by these attractions threatening their very existence"
"2",1,2,"the two young sea-lions took not the slightest interest in our arrival"
"3",1,3,"they were playing on the jetty rolling over and tumbling into the water together entirely ignoring the human beings edging awkwardly round them"
"4",1,4,"our party then had to step gingerly over hundreds of marine iguanas basking on the rocks strange creatures with richly coloured velvet coats looking like something between a giant lizard and a miniature dinosaur and found nowhere else on earth except here in the galapagos"
"5",1,5,"a little further on were the blue-footed boobies birds with brilliant china-blue feet again unique"
"6",1,6,"and then there were the flightless cormorants birds with vestigial wings who over the generations have lost the ability to fly because the nutrients at the shoreline are so rich they have no need to leave"
"7",1,7,"the island of fernandina lies at the far western edge of the galapagos archipelago dominated by a volcano that last erupted only six years ago and home to some of the most remarkable wildlife in the world"
"8",1,8,"it was late afternoon on one of the last days of the year and we had come ashore to scramble round the rough dark lava rocks of punta espinosa on the island"
"9",1,9,"in the golden afternoon light with the moon rising above the volcanoes on isabela island across the strait we could be forgiven for thinking that we were guests in paradise"
"10",1,10,"the creatures you see in the galapagos are remarkable in their rarity"
"11",1,11,"they are even more so for their lack of fear"
"12",1,12,"they don't run away"
"13",1,13,"they carry on basking or playing or mating or incubating their eggs or fighting for territory with blissful disregard for human beings"
"14",1,14,"it is as if you are walking into a david attenborough programme and finding that the real thing is even better than you ever imagined"
"15",1,15,"the closeness of the living natural world in this environment of volcanic rock and sweeping beaches and sparse vegetation makes the galapagos experience special"
"16",1,16,"the colours help too"
"17",1,17,"the intense black of the rock the startling blue of sea and sky the crimson of the mating frigate-birds the yellow of the warblers the brilliant orange of the american oyster-catchers the glistening silver of hundreds of dolphins swooping round your ship in the dawn light"
"18",1,18,"we spent eight days in all aboard a boat called tropic sun visiting all parts of the islands"
"19",1,19,"we lived ate and slept on the boat and went ashore two or three times a day to walk the trails see the wildlife and snorkel in the sea"
"20",1,20,"the boat was hardly the most luxurious experience we'd ever had and was certainly not a centre of gastronomic excellence"
"21",1,21,"but that really wasn't the point"
"22",1,22,"it took us to the places we wanted to see and the expert guide we had who led us round the trails and explained the flora and fauna to us was the best we could possibly have wanted"
"23",1,23,"you need not be an inveterate birdwatcher or naturalist to be captivated by what you see"
"24",1,24,"you simply cannot help being taken over by a sense of wonder at this different and special world"
"25",1,25,"darwin's visit in 1835 aboard hms beagle lasted five times longer"
"26",1,26,"he marvelled at the tortoises and the iguanas but it was the tiny finches that jolted his imagination most vividly"
"27",1,27,"they are still called darwin's finches in his honour"
"28",1,28,"there are 13 different species of the finches across the islands (our group managed to see five or six) the fascination is in the beaks"
"29",1,29,"each species on each island has over time developed a differently shaped beak adapted to the vegetation and the competition in that particular location"
"30",1,30,"these tiny birds with tiny distinctions helped to produce one of the greatest ever advances in the history of scientific thought"
"31",1,31,"since darwin called these islands on the equator have struggled to maintain the fragile balance of their ecology"
"32",1,32,"over the years the indigenous animal population has been under increasing threat from wayward fishermen or from feral dogs goats and rats escaping from human settlements or boats"
"33",1,33,"recently the ecuador authorities started trying to eradicate the invading species and have now succeeded in freeing some entire islands from non-native creatures"
"34",1,34,"a giant tortoise breeding programme is in place rearing infants in a protected environment at a time when they are at greatest risk and then returning them to the wild"
"35",1,35,"and there are strict laws now in place against harming or destroying the wildlife - though only recently a group of 12 slain tortoises was discovered killed apparently for the japanese aphrodisiac market"
