"","text_id","curr_ia_idx","curr_fix_dur","word","next_ia_idx","next_word","prev_ia_idx","subj","sent_id"
"1",1,1,132,"Anne",2,"lost",1,1,1
"2",1,2,152,"lost",3,"control",1,1,1
"3",1,3,144,"control",2,"lost",2,1,1
"4",1,2,64,"lost",4,"and",3,1,1
"5",1,4,184,"and",4,"and",2,1,1
"6",1,4,228,"and",5,"laughed.",4,1,1
"7",1,5,244,"laughed.",5,"laughed.",4,1,1
"8",2,2,160,"wrote",3,"on",1,1,2
"9",2,3,280,"on",5,"envelope.",2,1,2
"10",2,5,264,"envelope.",5,"envelope.",3,1,2
"11",3,1,204,"He",2,"called",1,1,3
"12",3,2,144,"called",3,"over",1,1,3
"13",3,3,272,"over",3,"over",2,1,3
"14",3,3,248,"over",5,"shoulder.",3,1,3
"15",3,5,168,"shoulder.",2,"called",3,1,3
"16",3,2,280,"called",2,"called",5,1,3
"17",3,2,196,"called",4,"his",2,1,3
"18",3,4,168,"his",4,"his",2,1,3
"19",3,4,128,"his",5,"shoulder.",4,1,3
"20",3,5,300,"shoulder.",3,"over",4,1,3
"21",3,3,144,"over",3,"over",5,1,3
"22",3,3,140,"over",2,"called",3,1,3
"23",4,2,164,"stayed",3,"against",1,1,4
"24",4,3,248,"against",3,"against",2,1,4
"25",4,3,128,"against",4,"the",3,1,4
"26",4,4,500,"the",5,"wall.",3,1,4
"27",4,5,72,"wall.",5,"wall.",4,1,4
"28",4,5,28,"wall.",5,"wall.",5,1,4
"29",5,2,124,"ran",2,"ran",1,1,5
"30",5,2,156,"ran",2,"ran",2,1,5
"31",5,2,124,"ran",4,"the",2,1,5
"32",5,4,168,"the",3,"to",2,1,5
"33",5,3,212,"to",5,"toilet.",4,1,5
"34",6,2,132,"cannot",3,"tell",2,1,6
"35",6,3,168,"tell",4,"you",2,1,6
"36",7,2,176,"gave",2,"gave",1,1,7
"37",7,2,236,"gave",3,"Adam",2,1,7
"38",7,3,152,"Adam",4,"two",2,1,7
"39",7,4,400,"two",5,"pounds.",3,1,7
"40",7,5,276,"pounds.",1,"Michael",4,1,7
"41",7,1,304,"Michael",4,"two",5,1,7
"42",8,2,208,"smiled",3,"and",1,1,8
"43",8,3,272,"and",4,"sat",2,1,8
"44",8,4,188,"sat",5,"down.",3,1,8
"45",9,1,112,"Things",2,"were",1,1,9
"46",9,2,180,"were",3,"looking",1,1,9
"47",9,3,124,"looking",5,"again.",2,1,9
"48",9,5,164,"again.",4,"up",3,1,9
"49",10,2,200,"man's",2,"man's",1,1,10
"50",10,2,248,"man's",3,"hair",2,1,10
"51",10,3,216,"hair",4,"is",2,1,10
"52",10,4,124,"is",5,"black.",3,1,10
"53",11,1,160,"Turn",3,"hearing",2,1,11
"54",11,3,244,"hearing",4,"aid",1,1,11
"55",11,4,200,"aid",3,"hearing",3,1,11
"56",11,3,212,"hearing",4,"aid",4,1,11
"57",11,4,268,"aid",5,"up.",3,1,11
"58",12,2,200,"demand",2,"demand",1,1,12
"59",12,2,120,"demand",2,"demand",2,1,12
"60",12,2,192,"demand",3,"nothing",2,1,12
"61",12,3,372,"nothing",4,"of",2,1,12
"62",12,4,216,"of",5,"me.",3,1,12
"63",12,5,68,"me.",1,"You'll",4,1,12
"64",13,2,212,"horse",3,"has",2,1,13
