Text_ID,Sentence_Number,text
0,0,In der alten römischen Religion und Mythologie ist Janus der Gott des Anfangs und der Tore
0,1,"Er hat eine doppelte Natur und wird gewöhnlich mit zwei Gesichtern dargestellt, da er in die Zukunft und in die Vergangenheit blickt"
0,2,Janus überwachte den Beginn und das Ende von Konflikten und damit auch Krieg und Frieden
0,3,Die Türen seines Tempels waren in Kriegszeiten geöffnet und geschlossen in Zeiten des Friedens
0,4,Als Gott der Tore wurde er außerdem mit dem Betreten und Verlassen von Haustüren in Verbindung gebracht
0,5,"Janus symbolisierte häufig Veränderungen und Übergänge, wie den Wechsel von einer Bedingung zur anderen, von einer Perspektive zur anderen und das Heranwachsen junger Menschen zum Erwachsenenalter"
0,6,"Deswegen wurde Janus zu Beginn der Saat- und Erntezeit verehrt, genauso wie zu Hochzeiten, Todesfällen und anderen Übergängen"
0,7,"Für Janus war kein spezieller Priester zuständig, sondern der höchste Priester leitete die Zeremonien selbst"
0,8,"Janus stellte den Mittelweg zwischen Barbarei und Zivilisation, ländlichem und urbanem Leben, Jugend und Erwachsenenalter dar"
0,9,"Die alten Griechen hatten kein Äquivalent zu Janus, den die Römer ganz für sich beanspruchten"
1,0,"Das Wort Shaka, begleitet von einer typischen Handhaltung, bei der die geschlossene Faust mit abgespreiztem Daumen und kleinem Finger gehoben wird, ist eine ganz allgemein auf Hawaii gebräuchliche Geste und bedeutet etwa so viel wie „Cool“ oder „Locker“"
1,1,Unter Windsurfern ist das Zeichen als Gruß verbreitet und wird als „Hang Loose“ bezeichnet
1,2,"Hier hat dieser Gruß jedoch eine ganz reale Anwendung: die abgespreizten Finger stehen für den Trapez- Tampen und die Faust für den Haken des Trapezes, mit welchem sich der Windsurfer einhängt"
1,3,"Der exakte Ursprung des Zeichens ist letztlich nicht gesichert, doch existieren eine Reihe von Theorien"
1,4,"Nach Recherche einer Zeitung geht das Handzeichen auf einen berühmten Hawaiianer zurück, dem an einer Hand drei Finger fehlten"
1,5,Woher aber der begleitende Name Shaka rührt ist ungeklärt
1,6,Auch von Prominenten wird der Gruß häufig verwendet
1,7,"Bekannte Schauspieler, Musiker und Politiker verwenden ihn und selbst der brasilianische Weltfußballer Ronaldinho nutzte diese Geste oft beim Torjubel"
1,8,Er schwenkte jedoch seine beiden Hände noch zusätzlich
2,0,Im Leistungssport ist Doping die Nutzung verbotener leistungssteigernder Substanzen durch die teilnehmenden Athleten
2,1,"Der Ausdruck Doping wird häufig von Organisationen verwendet, die sportliche Wettbewerbe regulieren"
2,2,"Der Gebrauch von Medikamenten, um die eigene Leistung zu steigern, wird allgemein als unethisch angesehen und deswegen von den meisten internationalen Sportorganisationen, wie dem Internationalen Olympischen Komitee, verboten"
2,3,"Darüber hinaus verschlimmern Athleten, die gezielt Maßnahmen ergreifen, um nicht entdeckt zu werden, ihr Vergehen, indem sie vorsätzlich täuschen und betrügen"
2,4,"Obwohl in den aktuellen Nachrichten häufig behandelt, ist Doping kein neues Phänomen - tatsächlich ist es so alt wie der Sport selbst"
2,5,Von der Verwendung von Substanzen in alten Wagenrennen bis hin zu neueren Kontroversen im Baseball und im Radsport haben sich die Ansichten der Athleten im Laufe der Jahre stark verändert
2,6,"In den letzten Jahrzehnten haben Behörden und Sportorganisationen versucht, den Konsum von Medikamenten im Sport streng zu regulieren"
2,7,"Die Hauptgründe für dieses Verbot sind die Gesundheitsrisiken von leistungssteigernden Medikamenten, die Chancengleichheit im Sport und das positive Beispiel, das durch den drogenfreien Sport in der Gesellschaft vermittelt wird"
2,8,"Anti- Doping- Behörden haben wiederholt betont, dass der Einsatz leistungssteigernder Medikamente gegen den ""Geist des Sports"" verstößt"
3,0,"Der Beutelwolf, auch Tasmanischer Tiger genannt, war das größte räuberisch lebende Beuteltier, das in geschichtlicher Zeit auf dem australischen Kontinent lebte"
3,1,Das letzte bekannte Exemplar starb im zwanzigsten Jahrhundert in einem Zoo auf Tasmanien
3,2,Nicht nur dem Namen nach gibt es Ähnlichkeiten zwischen Wolf und Beutelwolf
3,3,"Obwohl die Vorfahren beider Tiere sich stammesgeschichtlich sehr früh in der Kreidezeit teilten, entwickelte sich in der Gruppe der Beuteltiere und der Höheren Säugetiere jeweils ein Raubtier mit verblüffenden Übereinstimmungen"
3,4,"Beide besitzen ein Raubtiergebiss mit sehr kleinen Schneidezähnen und großen, gebogenen Eckzähnen"
3,5,Sein ursprünglicher Lebensraum waren offene Waldgebiete und Grasländer
3,6,In den letzten Jahrzehnten seiner Existenz wurde er aber durch den Menschen in dichte Wälder abgedrängt
3,7,"Beutelwölfe waren in der Regel nachtaktiv, konnten aber beim Sonnenbaden beobachtet werden"
3,8,Über die Jagdtechnik gibt es unterschiedliche Berichte
3,9,"Nach manchen Berichten verfolgte der Beutelwolf seine Beute, bis sie ermüdet war und er sie überwältigen konnte; nach anderen Berichten schlich er sich an seine Opfer an und überrumpelte sie"
3,10,"Dabei half ihm sein kräftiger Kiefer, mit dem er den Schädel eines Hundes mit einem einzigen Biss zermalmen konnte"
4,0,Der Weltumwelttag oder auch Tag der Umwelt ist ein jährlich am 5 Juni weltweit begangener Aktionstag
4,1,"Im Jahr 1972, dem Eröffnungsjahr der ersten Weltumweltkonferenz in Stockholm, wurde der Weltumwelttag offiziell vom Umweltprogramm der Vereinten Nationen ausgerufen"
4,2,"Seit 1976 werden zum Weltumwelttag auch in Deutschland Aktionen zum Thema Recycling, gegen Naturzerstörung weltweit und zur Schärfung des Umweltbewusstseins organisiert"
4,3,So wurde in vergangenen Jahren zum Beispiel das globale Umweltproblem des Meeresspiegelanstiegs für die kleinen Inselstaaten dieser Erde thematisiert
4,4,"Sowohl Modellprojekte zu thermischen Solaranlagen, wie auch Photovoltaikanlagen wurden dafür in Betrieb genommen"
4,5,"Länder, in denen an nahezu 365 Tagen im Jahr die Sonne scheine, könnten sich eine Verschwendung von Dachflächen nicht leisten, sagten bekannte Politiker"
4,6,Auch in weiteren Staaten gab es Aktionen: In Sri Lanka wurden etwa Strände von Plastikmüll gesäubert
4,7,Das internationale Jahresmotto für 2018 lautete “Bekämpft den Plastikmüll”
4,8,"Gastgebernation war Indien, gastgebende Stadt Neu- Delhi"
4,9,Ein verwandter Gedenktag zum Weltumwelttag ist der Tag der Erde
5,0,"Das Monokel ist eine Sehhilfe, die im Gegensatz zur heute verwendeten Brille aus nur einem Glas besteht und am Auge eingeklemmt wird"
5,1,"Das Monokel entwickelte sich aus dem Lesestein, einer geschliffenen Linse aus Quarz oder Beryll"
5,2,Daher stammt auch das deutsche Wort Brille
5,3,Dieser Lesestein wurde zum Vergrößern direkt auf das Schriftstück gelegt
5,4,"Das im Deutschen verwendete Wort Monokel wurde aus dem Französischem entlehnt, entstand aber ursprünglich als zweisprachiges Kunstwort aus dem Altgriechischen und Latein"
5,5,Das Monokel war gegen Ende des 19 Jahrhunderts besonders in Deutschland und Großbritannien populär und galt als ein Statussymbol der höheren Gesellschaftsschichten
5,6,Besonders verbreitet war es in den Offizierskorps der Armeen dieser beiden Länder
5,7,"Einige Mediziner waren damals der Meinung, das Verzerren des Gesichts zum Festhalten des Monokels sei gesundheitsschädlich"
5,8,"Dagegen wurde gewöhnlich argumentiert, dass nur Personen Monokel tragen sollten, die es ohne solche Gesichtsverzerrungen tragen könnten"
5,9,Dem wurde von Seiten der Optiker auch durch unterschiedliche Größen entsprochen
6,0,Eine Weinprobe ist die sensorische Prüfung und Bewertung von Wein
6,1,"Während die Weinprobe so alt ist wie die Weinherstellung selbst, wurde ihr seit dem späten Mittelalter ein stärker formalisierter Ablauf gegeben"
6,2,"Moderne, professionelle Weintester verwenden eine sich ständig weiterentwickelnde Fachterminologie, mit der das Spektrum der wahrgenommenen Geschmäcke, Aromen und generellen Merkmale eines Weins beschrieben wird"
6,3,"In den letzten Jahren sind Studien veröffentlicht worden, welche die Zuverlässigkeit der Weinprobe sowohl bei Experten als auch bei Verbrauchern in Frage stellen"
6,4,"Einige Untersuchungen haben zum Beispiel gezeigt, dass Menschen erwarten, dass ein teurerer Wein mehr positive Eigenschaften besitzt als ein billigerer Wein"
6,5,"Wenn Verkostern Wein gegeben wird, von dem fälschlicherweise gesagt wird, dass er teuer ist, berichten sie praktisch immer, dass er besser schmeckt als derselbe Wein, wenn er als billig beschrieben wird"
6,6,"Andere Studien zeigen, dass das Urteil der Verkoster durch ihr Wissen über Eigenschaften eines Weins wie geografische Herkunft, Reputation oder andere Faktoren verzerrt werden kann"
6,7,"Bei einer objektiven Weinverkostung muss der Wein deswegen blind serviert werden; das bedeutet ohne, dass der Tester das Etikett oder die Flaschenform gesehen hat"
6,8,"Bei einer Blindverkostung kann der Wein auch aus einem schwarzen Weinglas serviert werden, um die Farbe des Weins zu maskieren"
7,0,"Orangensaft ist ein Fruchtsaft, der durch Auspressen von Orangen hergestellt wird"
7,1,Umgangssprachlich wird er oft als O- Saft bezeichnet
7,2,Orangensaft ist der meistgetrunkene Saft der Welt und steht für die Hälfte des Gesamtkonsums an Fruchtsäften
7,3,Unterschieden wird zwischen Direktsaft und Fruchtsaft aus Fruchtsaftkonzentrat
7,4,Orangen- Direktsaft wird im Ernteland (hauptsächlich Brasilien) nach dem Pressen durch Pasteurisation haltbar gemacht
7,5,"Befindet sich das Zielland in Übersee, beispielsweise Europa, so wird er per Orangensafttanker transportiert und im Zielland von den Fruchtsaftherstellern abgefüllt"
7,6,Der Hauptteil des gewonnenen Orangensaftes wird noch im Produktionsland zu Orangensaftkonzentrat verarbeitet
7,7,Dazu werden dem Orangensaft unter Vakuum bei niedrigen Temperaturen zuerst die Aromen und anschließend das Wasser entzogen
7,8,"Laut Fruchtsaft- und Erfrischungsgetränkeverordnung darf als Saft nur ein solches Getränk bezeichnet werden, das vollständig aus dem Fruchtsaft und dem Fruchtfleisch der entsprechenden Früchte stammt"
8,0,"Der Imker beschäftigt sich mit der Haltung, Vermehrung und Züchtung von Honigbienen sowie mit der Produktion von Honig und weiterer Bienenprodukte"
8,1,Wirtschaftlich relevanter ist heute die Bestäubungsleistung der Honigbienen in der Landwirtschaft als Nebenprodukt der Imkerei
