Text_ID,Sentence_Number,text
0,0,"Στην αρχαία ρωμαϊκή θρησκεία και μυθολογία, ο Ιανός ήταν ο θεός των εκκινήσεων και των μεταβάσεων"
0,1,"Είχε διπλή φύση και συνήθως απεικονιζόταν με δύο πρόσωπα, αφού κοιτούσε ταυτόχρονα στο μέλλον και στο παρελθόν"
0,2,Ο Ιανός παρακολουθούσε την αρχή και το τέλος μιας σύγκρουσης και κατ’ επέκταση τον πόλεμο και την ειρήνη
0,3,Οι πόρτες του ναού του ήταν ανοιχτές σε περιόδους πολέμου και κλειστές σε περιόδους ειρήνης
0,4,"Ως ο θεός των πυλών, συνδέθηκε επίσης με την είσοδο και έξοδο από τις πόρτες των σπιτιών"
0,5,"Ο Ιανός συμβόλιζε συχνά τις αλλαγές και τις εξελίξεις, όπως η πρόοδος από μια κατάσταση σε άλλη, από ένα όραμα σε άλλο και η μετάβαση από την εφηβεία στην ενηλικίωση"
0,6,"Ως αποτέλεσμα, ο Ιανός λατρεύτηκε στην έναρξη της σποράς και της συγκομιδής, όπως επίσης σε γάμους, θανάτους και άλλες αφετηρίες"
0,7,"Στον Ιανό δεν είχε ανατεθεί συγκεκριμένος ιερέας, αλλά ο ίδιος ο αρχιερέας τελούσε τις τελετουργίες του"
0,8,"Ο Ιανός αντιπροσώπευε το μεσοδιάστημα ανάμεσα στη βαρβαρότητα και τον πολιτισμό, τον αγροτικό και τον αστικό χώρο, τη νεότητα και την ενηλικίωση"
0,9,"Οι Ρωμαίοι ισχυρίστηκαν ότι ο Ιανός ήταν δική τους θεότητα, καθώς οι αρχαίοι Έλληνες δεν είχαν αντίστοιχο θεό"
1,0,"Το χαβανέζικο νεύμα σάκα χρησιμοποιείται από τους λάτρεις του σερφ, συνήθως σε μία φιλική συζήτηση, για να δηλώσει ότι «όλα είναι υπό έλεγχο»"
1,1,"Για να κάνεις το νεύμα σάκα θα πρέπει να σηκώσεις το πρώτο και το τελευταίο δάχτυλο του χεριού σου, να κρατήσεις τα μεσαία σου δάχτυλα λυγισμένα και να περιστρέψεις το χέρι σου δεξιά και αριστερά"
1,2,"Τη δεκαετία του 1960, οι σέρφερ που επισκέπτονταν τη Χαβάη, «δανείστηκαν» το τοπικό αυτό νεύμα, το οποίο διαδόθηκε σε όλο τον κόσμο"
1,3,"Έκτοτε, το νεύμα αυτό χρησιμοποιείται ευρέως μεταξύ των ανθρώπων για ανταλλαγή χαιρετισμών, έκφραση ευχαριστιών ή δήλωση επαίνου"
1,4,"Οι πολίτες της Χαβάη χρησιμοποιούν το νεύμα σάκα για να εκφράσουν συγχρόνως αυτό που αποκαλούν «Aloha Spirit», δηλαδή τη φιλία, την κατανόηση, τη συμπόνια και την αλληλεγγύη μεταξύ των διαφόρων φυλών που ζουν στη Χαβάη"
1,5,"Πιστεύεται ότι το νεύμα σάκα προέρχεται από τους Ισπανούς μετανάστες, οι οποίοι για να προσκαλέσουν τους ντόπιους της Χαβάης για ένα ποτό, έφερναν τον ανασηκωμένο αντίχειρα του χεριού τους κοντά στα χείλη τους, κρατώντας τα μεσαία τους δάχτυλα κλειστά"
2,0,"Στον αθλητισμό, το ντόπινγκ ορίζεται ως η χρήση απαγορευμένων ουσιών που ενισχύουν την απόδοση των αθλητών"
2,1,Ο όρος ντόπινγκ χρησιμοποιείται ευρέως από διεθνείς αθλητικούς οργανισμούς
2,2,"Η χρήση ουσιών για ενίσχυση της απόδοσης θεωρείται ανέντιμη πρακτική και συνεπώς απαγορεύεται από τους περισσότερους διεθνείς οργανισμούς, μεταξύ των οποίων και τη Διεθνή Ολυμπιακή Επιτροπή"
2,3,"Επιπλέον, οι αθλητές που προσπαθούν να αποφύγουν την ανίχνευση τέτοιων ουσιών υπερβαίνουν τα όρια της ηθικής και φτάνουν στα όρια της εξαπάτησης"
2,4,Το ντόπινγκ δεν είναι ένα νέο φαινόμενο - στην πραγματικότητα είναι τόσο παλιό όσο και ο ίδιος ο αθλητισμός
2,5,"Από τη χρήση ουσιών στους αρχαίους αγώνες άμαξας μέχρι τα πρόσφατα περιστατικά σε μπέιζμπολ και ποδηλασία, οι απόψεις των αθλητών για το ντόπινγκ ποικίλουν διαχρονικά"
2,6,"Τις τελευταίες δεκαετίες, οι αρμόδιες αθλητικές αρχές και οργανώσεις προσπαθούν να ρυθμίσουν αυστηρά τη χρήση ουσιών στον αθλητισμό"
2,7,"Οι βασικοί λόγοι για την απαγόρευση των ουσιών είναι οι κίνδυνοι για την υγεία των αθλητών, οι ίσες ευκαιρίες και το θετικό παράδειγμα του αθλητισμού χωρίς ουσίες"
2,8,Οι αρχές αντι- ντόπινγκ έχουν επανειλημμένα τονίσει ότι η χρήση ουσιών είναι ενάντια στο «πνεύμα του αθλητισμού»
3,0,Το μεγαλύτερο σαρκοφάγο ζώο της σύγχρονης εποχής έχει μάρσιπο και ονομάζεται θυλακίνος
3,1,"Είναι κοινώς γνωστό ως τίγρη ή λύκος της Τασμανίας, λόγω των ομοιοτήτων του με την τίγρη (λωρίδες στην πλάτη) ή τον λύκο (χαρακτηριστικά)"
3,2,"Απολιθώματα δείχνουν ότι ο θυλακίνος μέχρι τον εικοστό αιώνα ζούσε στην ηπειρωτική Αυστραλία, την Τασμανία και τη Νέα Γουινέα και έκτοτε θεωρείται ως εξαφανισμένο είδος"
3,3,Μάρσιπο διέθεταν πέρα από τους θηλυκούς και οι αρσενικοί θυλακίνοι
