Text_ID,Sentence_Number,text
0,0,Muinaisen roomalaisen mytologian mukaan Janus oli alkujen ja porttien jumala
0,1,"Hän oli kaksoisluonteinen ja hänet kuvattiin usein kaksin kasvoin, toinen katsoen tulevaisuuteen ja toinen menneisyyteen"
0,2,"Janus hallitsi konfliktien alkua ja loppua, ja sen myötä sotaa ja rauhaa"
0,3,Sotien aikana hänen temppelinsä ovet olivat auki ja rauhan aikana kiinni
0,4,Porttien jumalana hänen ajateltiin myös kulkevan kotien ovista sisään ja ulos
0,5,"Yleisesti Janus symboloi muutosta ja siirtymää, kuten kehitystä tilasta toiseen, visiosta toiseen, sekä nuoren kasvamista aikuiseksi"
0,6,"Janusta siis palvottiin sadonkorjuun ja istutuksen alussa, sekä avioliiton, kuoleman ja muiden siirtymien alussa"
0,7,"Janukselle ei ollut nimitetty tiettyä pappia, mutta itse ylipappi toimitti hänen seremoniansa"
0,8,"Janus edusti välimaastoa barbarismin ja sivilisaation, maaseudun ja kaupungin sekä nuoruuden ja aikuisuuden välillä"
0,9,"Muinaisilla kreikkalaisilla ei ollut vastinetta Janukselle, jonka roomalaiset väittivät olevan selkeästi heidän omansa"
1,0,Shaka- merkin merkitys liittyy ystävällisyyteen
1,1,"Symbolinen ele on luultavasti alun perin kehitetty Havaijilla, josta se lähti leviämään kansainvälisempään käyttöön 1960- luvulla alueella vierailleiden surffaajien myötä"
1,2,"Siitä on tullut niin suosittu, että nyt sen merkitys tunnetaan ympäri maailman tämän lajin harrastajien kesken"
1,3,Shaka- merkkiä näytettäessä nostetaan peukalo ja pikkurilli ylös ja kierretään kolme keskimmäistä sormea alaspäin samalla heiluttaen kättä kuin tervehtiäkseen
1,4,Liikettä voi vielä korostaa kättä sivuttain pyörittäen
1,5,"Shaka- merkin tarkoitus painottuukin puhtaasti ystävällisyyden, tietoisuuden ja kehujen välittämiseen"
1,6,"Havajin asukkaat käyttävät shakaa ilmaistakseen ”Aloha- henkeä”, eli ymmärrystä ja myötätuntoa saarten monien kulttuurien edustajia kohtaan"
1,7,"Koska merkin alkuperästä ei olla täysin varmoja, on myös ehdotettu sen tulevan espanjalaisten maahantulijoiden käsimerkistä, jolla he halusivat ehdottaa havajilaisille yhdessä lasillisen nauttimista"
2,0,Kilpaurheilussa doping tarkoittaa kilpailevien urheilijoiden kiellettyjen urheilusuoritusta parantavien aineiden käyttöä
2,1,Urheilukilpailuja säätelevät organisaatiot käyttävät doping- termiä laajasti
2,2,"Aineiden käyttöä urheilusuorituksen parantamiseen pidetään pääasiassa epäeettisenä, ja se on siksi kielletty suurimmassa osassa kansainvälisiä urheiluorganisaatioita, mm"
2,3,Kansainvälisessä olympiakomiteassa
2,4,"Lisäksi urheilijat, jotka pyrkivät peittelemättömästi välttämään selvityksen, pahentavat eettistä rikkomusta avoimella petoksella ja huijauksella"
2,5,"Vaikka doping onkin vallinnut otsikkoja viime aikoina, ilmiönä se ei ole kuitenkaan uusi – itse asiassa se on yhtä vanha kuin urheilu itsessään"
2,6,"Yleinen mielipide urheilijoiden keskuudessa on vaihdellut laajasti vuosien saatossa: aineita on käytetty muinaisista sotavaunukilpailuista nykyhetkeen asti, ja tuoreimpia kiistoja on esiintynyt amerikkalaisessa pesäpallossa ja pyöräilyssä"
2,7,Viimeisinä vuosikymmeninä viranomaiset ja urheiluorganisaatiot ovat yrittäneet tiukasti säädellä aineiden käyttöä urheilussa
2,8,"Ensisijaiset syyt aineiden kieltämiseen kumpuavat suoritusta parantavien aineiden terveysriskeistä, kilpailijoiden mahdollisuuksien samanarvoisuus ja yleisölle näkyvä päihteettömän urheilun antama positiivinen kuva"
2,9,Dopingin vastaiset viranomaiset ovat toistuvasti painottaneet suoritusta parantavien aineiden käytön olevan vastoin ”urheiluhenkeä”
3,0,"Pussihukka oli uuden ajan suurin lihansyöjäpussipeto, joka muistutti muodoltaan sutta ja väritykseltään tiikeriä, mistä johtuvat sen monet susi- ja tiikeri -päätteiset nimitykset"
3,1,"Alun perin pussihukka eli Australian mantereella ja Uudessa- Guineassa, mutta viimeisten kolmen vuosituhannen aikana lajia esiintyi vain Tasmaniassa"
3,2,Sekä naaras- että koiraspussihukalla oli pussit: naaras kantoi poikasta omassaan ja koiraan pussi suojasi puolestaan ulkoisia sukupuolielimiä
3,3,"Pussihukan tiedetään olleen harvaan asutuilla alueilla vaativissa olosuhteissa saalistava suurpeto, tosin saaliin koosta ja pussihukan saalistustyylistä on esitetty vaihtelevaa tietoa"
3,4,"Jo ennen brittien tuloa Australiaan pussihukkia hädin tuskin enää esiintyi Australian mantereella, mutta Tasmanian saarella laji selvisi 1900- luvulle asti"
3,5,Metsästyksen lisäksi sairaudet sekä koirien ja ihmisten tulo pussihukan elinalueelle ovat voineet vaikuttaa lajin häviämiseen
3,6,"Vaikka laji on kuollut sukupuuttoon 1900- luvulla, ihmiset edelleen ilmoittavat näköhavainnoista ja yrittävät esittää todistusaineistoa lajin olemassaolosta"
4,0,"Maailman ympäristöpäivä on vuodesta 1974 alkaen 5 kesäkuuta järjestetty Yhdistyneiden kansakuntien ympäristöohjelman vuosittainen teemapäivä, jolloin kiinnitetään huomiota ympäristökysymyksiin"
4,1,Tarkoituksena on nostaa esille ympäristössämme tapahtuvia muutoksia lisäämällä ympäristötietoisuutta sekä kannustamalla ympäristön suojelemiseen
4,2,"Ideana on, että jokainen voi toimia ympäristön hyväksi, joko paikallisesti, kansallisesti tai kansainvälisesti, joko yksin tai isona joukkona"
4,3,"Hallitus, yritykset, organisaatiot ja yhteisöt osallistuvat teeman osoittaman ympäristöasian edistämiseen"
4,4,"Erityisen suuria haasteita ovat ilmastonmuutos, kasvihuonepäästöt kehitysmaissa ja biodiversiteetin hupeneminen"
4,5,Myös arktisilla alueilla ilmastonmuutoksen vaikutukset ovat merkittäviä
4,6,Ilmaston lämpeneminen vaikuttaa paitsi kasvi- ja eläinkuntaan myös ihmisten toimeentulomahdollisuuksiin
4,7,"Viime vuosina yksi suuri huolenaihe on ollut muovijäte, josta muodostui myös vuoden 2018 ympäristöpäivän teema"
4,8,Kampanjassa puhuttiin kertakäyttömuovikulttuurin hävittämisen puolesta
4,9,"Esimerkiksi Intia antoi suuren lupauksen siitä, että koko 1,3 miljardin asukkaan nopeasti kehittyvä maa aikoo jättää kaiken kertakäyttömuovin vuoteen 2022 mennessä"
5,0,"Monokkeli on optinen linssi, joka asetetaan toisen silmän eteen korjaamaan sen näkökykyä"
5,1,"Toisin kuin silmälasit, monokkeli ei lepää kasvoilla sankojen avulla, vaan sitä pitävät paikallaan kasvojen lihakset"
5,2,Monokkeli on nauhalla kiinni omistajansa kaulassa tai rintapielessä putoamisen varalta
5,3,"Se yhdistetään tavallisesti 1800- luvun yläluokkaisiin, varakkaisiin miehiin"
5,4,Kommunistisessa propagandassa monokkeli kuului usein frakin ja silinterin kanssa stereotyyppisen kapitalistin tunnusmerkkeihin
5,5,"Toinen ryhmä, joihin monokkeli usein yhdistetään, ovat saksalaiset upseerit"
5,6,"Monokkelin suosio oli suurimmillaan 1800- luvun loppupuoliskolla, mutta se hävisi nopeasti käytöstä 1900- luvun alkupuolella, kun kehittynyt optiikka mahdollisti silmälasit, joiden linssit olivat eri vahvuiset"
5,7,Nykyään monokkeli on käytännössä kadonnut lasityyppi
6,0,Viininmaistelu on viinin aistinvaraista tarkastelua ja arviointia
6,1,"Käytäntönä viininmaistelu on yhtä ikivanha kuin itse viinin valmistus, mutta hiljalleen myöhemmästä keskiajasta lähtien on muodostunut virallinen menetelmä"
6,2,"Modernit, ammattiviininmaistajat käyttävät jatkuvasti kehittyvää erityissanastoa, jolla kuvaillaan viinissä havaittujen makujen, tuoksujen ja yleisten ominaisuuksien nan kirjoa"
6,3,"Viime vuosien aikana on tullut esiin tutkimustuloksia, jotka haastavat sekä ammattilaisten että kuluttajien viininmaistamisen luotettavuuden"
6,4,"Tutkimusten mukaan ihmiset odottavat kalliimman viinin omaavan edullisempaa viiniä houkuttelevammat ominaisuudet: kun maistajille annetaan viiniä, jonka virheellisesti kerrotaan olevan kallista, he lähes aina raportoivat sen maistuvan paremmalta kuin sama viini silloin, kun sen kerrotaan olevan edullista"
6,5,"Toiset tutkimukset osoittavat, että maistajien arviointiin saattaa vaikuttaa viineistä saadut lisätiedot, kuten maantieteellinen alkuperä, maine tai muut seikat"
6,6,"Objektiivinen viininmaistelu vaatii siis viinin tarjoiltavan sokkona, eli maistajan näkemättä etikettiä tai pullon muotoa"
6,7,Sokkomaistelussa voidaan myös viinin värin peittämiseksi käyttää mustia viinilaseja tarjoilussa
7,0,"Appelsiinimehu on tuoreista appelsiineista puristamalla tehty mehu, jota nautitaan eri puolilla maailmaa"
7,1,"Teollisesti valmistettu mehu tehdään pastöroimalla ja hapen poistolla, mikä johtaa luonnollisen maun häviämiseen, ja vasta myöhemmässä vaiheessa mehuun lisätään makua keinotekoisesti"
7,2,"Pitkään hyllyssä seisova appelsiinimehu on usein valmistettu pakastetusta mehutiivisteestä, johon on lisätty alkuperäistä mehua vastaava määrä vettä"
7,3,"Haihduttamalla mehusta vettä valmistetaan siis mehutiivistettä, jota voidaan myöhemmin laimentaa"
7,4,"Kun mehua valmistetaan tiivisteestä, siihen lisätään vettä, sokeria ja tarvittavia lisäaineita"
7,5,"Näin aikaansaatu mehu pastöroidaan, jäähdytetään ja pakataan esimerkiksi kartonkipakkauksiin"
7,6,"Vaikka appelsiinimehussa onkin reilusti C- vitamiinia, teollisesti valmistettua mehua voi sokeripitoisuutensa puolesta verrata limsoihin"
7,7,Ravintoammattilaiset suosittelevatkin mehujen juomisen sijaan tuoreiden hedelmien syömistä
8,0,Mehiläishoito tarkoittaa mehiläisten kasvatusta ja hoitoa hunajan ja mehiläisvahan keräämiseksi
8,1,Jotkut myös hyödyntävät mehiläisiä sadon pölytyksessä sekä kasvattavat niitä myydäkseen toisille mehiläistarhaajille
8,2,Mehiläisten hyödyntämistä kuvaavia luolamaalauksia on löydetty tuhansien vuosien takaa
