Text_ID,Sentence_Number,text
0,0,Janus is in de oude Romeinse religie en mythes de god van het begin en van poorten
0,1,"Hij heeft een dubbele aard en wordt meestal voorgesteld met twee gezichten, omdat hij zowel naar de toekomst als naar het verleden kijkt"
0,2,"Janus overzag het begin en het einde van conflicten, en vandaar oorlog en vrede"
0,3,De deuren van zijn tempel waren open in tijden van oorlog en gesloten in tijden van vrede
0,4,Als god van de poorten werd hij ook geassociëerd met het betreden en verlaten van huisdeuren
0,5,"Janus symboliseerde verandering en transities, zoals de overgang van de ene toestand in de andere, van een visie in een andere, en de groei van jonge mensen tot volwassenen"
0,6,"Janus werd dus ook aanbeden aan het begin van de oogst- en zaaitijd, alsook bij een huwelijk, overlijden, of een andere overgang"
0,7,"Janus had geen specifieke priesters aan hem toegewezen, maar de hogepriester zelf voerde zijn ceremonies uit"
0,8,"Janus vertegenwoordigde het midden tussen barbaarsheid en beschaving, landelijke en stedelijke ruimte, jeugd en volwassenheid"
0,9,"De oude Grieken hadden geen equivalent voor Janus, die de Romeinen als als hun eigen god opeisten"
1,0,"Het shaka- teken, ook bekend als ‘laat het los’, is een gebaar bedoeld als vriendelijke intentie, vaak geassociëerd met Hawaï en de surfcultuur"
1,1,Het gebaar wordt gemaakt door de duim en pink uit te strekken terwijl de drie middelvingers gevouwen blijven tegen de handpalm
1,2,Zowel de voor- als de achterkant van de hand kan getoond worden en eventueel heen en weer bewegen worden ter benadrukking
1,3,"Het shaka- teken werd overgenomen vanuit de lokale Hawaïaanse gebruiken en cultuur door surfers die de eilanden bezochten in de jaren zestig, het gebruik ervan is in de hele wereld verspreid geraakt"
1,4,"Het wordt voornamelijk gebruikt als een gebaar voor begroeting, dank of lof uit te drukken of erkenning te geven"
1,5,"Hawaïaanse inwoners gebruiken de shaka om het ‘Aloha- gevoel’ over te brengen: een concept van vriendschap, begrip, medeleven en solidariteit tussen de verschillende volkeren op Hawaï"
1,6,"Het is onduidelijk wat de precieze oorsprong is van het teken, al is het volgens sommigen afkomstig van Spaanse immigranten, die hun middelvingers krulden en hun duim bij hun lippen hielden als vriendelijk gebaar dat aangaf dat ze graag iets samen wilden drinken met de inboorlingen die ze in Hawaï leerden kennen"
2,0,Doping is het gebruik van verboden prestatiebevorderende drugs door atletische deelnemers in competitieve sporten
2,1,De term doping wordt gebruikt door organisaties die sportwedstrijden regelen
2,2,"Het gebruik van doping om prestaties te bevorderen wordt doorgaans als onethisch beschouwd, en is daarom ook verboden bij de meeste internationale sportorganisaties, waaronder het Internationale Olympische Comité"
2,3,Bovendien verergeren atleten de ethische overtreding door openlijke misleiding en valsspelen wanneer ze expliciete maatregelen nemen om detectie te voorkomen
2,4,"Ondanks dat doping tegenwoordig vaak voorkomt in krantenkoppen, is het geen nieuw fenomeen – het is eigenlijk al zo oud als de sport zelf"
2,5,"Vanaf het gebruik van middelen in oude wagenrennen tot de meer recente controverses in voetbal en wielrennen, hebben atleten uiteenlopende visies gehad doorheen de jaren"
2,6,In de afgelopen decennia hebben autoriteiten en sportieve organisaties geprobeerd het gebruik van drugs in sport strict te reguleren
2,7,"De voornaamste redenen voor dit verbod zijn de gezondheidsrisico’s van prestatiebevorderende middelen, gelijke kansen voor de atleten, en de positieve voorbeeldfunctie van een drugvrije sport voor het publiek"
2,8,Antidopingautoriteiten hebben herhaaldelijk benadrukt dat het gebruik van prestatiebevorderende drugs tegen de ‘geest van de sport’ indruist
3,0,"De buidelwolf was een van de grotere vleesetende buideldieren in Australië, Nieuw- Guinea en Tasmanië voordat de kolonisten er arriveerden"
3,1,"De kop van de buidelwolf lijkt op die van een hondachtige, hieraan dankt hij zijn naam"
3,2,"De soort staat ook bekend als de Tasmaanse tijger, verwijzend naar de strepen op de rug van het dier die dienen als camouflage in de bossen"
3,3,Verder heeft het dier een lange staart waarover de strepen enigszins doorlopen
3,4,Met de komst van de Europeanen is het dier geheel van de aardbodem verdwenen
3,5,"De boeren die zich op Tasmanië vestigden, maakten jacht op de buidelwolf, omdat het dier schapen zou doden"
3,6,Lang werd geopperd dat de komst van de Europeanen niet de enige oorzaak van uitsterven was
3,7,Aan het begin van de 20e eeuw zou er zich een epidemie onder de vleesetende buideldieren hebben voorgedaan
3,8,Pas midden de jaren dertig werd de buidelwolf op Tasmanië wettelijk beschermd
3,9,De soort was toen echter waarschijnlijk al zo goed als uitgestorven
3,10,"Toch zijn er sindsdien heel wat informele waarnemingen van de buidelwolf geweest, waarvan er een aantal als betrouwbaar kunnen worden bestempeld"
3,11,Er zijn thans nog velen die de hoop koesteren dat er nog kleine groepjes buidelwolven in de uitgestrekte wildernis van Tasmanië voorkomen
4,0,De wereldmilieudag wordt sinds 1974 jaarlijks door de Verenigde Naties georganiseerd
4,1,De inzet is om overheden en bevolking stil te laten staan bij ons milieu
4,2,Deze speciale dag moet het bewustzijn hierover verbeteren
4,3,Er is voor vijf juni gekozen omdat op die dag in 1972 de internationale milieuconferentie begon die ook bekendstaat als het United Nations Environment Programme
4,4,Elk jaar organiseert een bepaalde gaststad in een ander land de vergadering
4,5,"Deze dag heeft verwantschap met de Dag van de Aarde, een ander jaarlijks evenement met als doelstelling de bewustwording van ons consumentengedrag en de invloed hiervan op de aarde"
4,6,Op wereldmilieudag worden meerdere acties gehouden en projecten uitgevoerd
4,7,In de Braziliaanse stad Goiânia staat bijvoorbeeld een zeven meter hoge ampulvormige sculptuur als monument voor wereldvrede
4,8,Deze is gevuld met grond uit vele landen en symboliseert het verlangen om tot eenheid van de mensheid te komen
4,9,Jaarlijks wordt op wereldmilieudag aarde uit een nieuw land bijgestort
4,10,Op wereldmilieudag in 1977 is op initiatief van de Keniaanse organisatoren een boomplantactie opgezet die woestijnvorming moet tegengaan
5,0,"Een monocle of oogglas is een halve bril, dat wil zeggen, een bril bestaande uit één rond glas en bedoeld voor één oog, afgestemd op de noden van de slechtziende"
5,1,"Een monocle functioneert op dezelfde wijze als een bril, met het verschil dat ze niet op de neus wordt geplaatst en ook niet achter het oor wordt gehaakt"
5,2,"Aan die ring is een touwtje bevestigd, dat men ofwel rond de nek kan hangen, ofwel ergens anders aan de kledij kan vasthaken, zodat de monocle in geval van loskomen niet op de grond terechtkomt"
5,3,Men klemt de monocle tussen het jukbeen en de wenkbrauw
5,4,"De monocle is sinds medio twintigste eeuw uit de mode geraakt; mensen die slechts aan één oog problemen hebben, verkiezen veelal toch een bril te dragen, waarvan dan slechts één glas werkzaam is"
5,5,Misschien is de aristocratische connotatie die met het oogglas verbonden is een van de redenen voor het uit zwang geraken — dit verklaart echter niet waarom de monocle niet populair is onder snobs
5,6,Vermoedelijk wordt de monocle als minder gebruiksvriendelijk dan de bril ervaren
6,0,Wijnproeven is het sensorisch onderzoeken en beoordelen van wijn
6,1,"Hoewel de praktijk van het wijnproeven zo oud is als de productie zelf, is er sinds de late Middeleeuwen een geformaliseerde methode tot stand gekomen"
6,2,"Moderne professionele wijnproevers gebruiken een gespecialiseerde terminologie die constant evolueert en die gebruikt wordt om de reikwijdte van gepercipiëerde smaken, aroma’s en algemene karakteristieken van de wijn te beschrijven"
6,3,"In de afgelopen jaren zijn er resultaten opgedoken die de betrouwbaarheid van het wijnproeven in vraag stellen, zowel bij experts als bij consumenten"
6,4,"Er zijn bijvoorbeeld studies die aantonen dat mensen verwachten dat duurdere wijn wenselijkere karakteristieken heeft dan minder dure wijn: wanneer proevers een wijn voorgeschoteld krijgen waarvan valselijk wordt verteld dat die duur is, rapporteren ze praktisch altijd dat die beter smaakt dan identiek dezelfde wijn als wordt verteld dat die goedkoop is"
6,5,"Andere onderzoeken tonen aan dat de mening van proevers bevooroordeeld kan zijn omdat ze details over de wijn kennen, zoals de geografische origine, de reputatie, of andere kenmerken"
6,6,Objectief wijnproeven vereist daarom dat de wijn blind wordt geserveerd – de proever mag dus het etiket of de vorm van de fles niet gezien hebben
6,7,Bij blind proeven kan de wijn ook in een zwart wijnglas geserveerd worden om de kleur van de wijn te maskeren
7,0,Sinaasappelsap is een vruchtensap verkregen door het binnenste van een sinaasappel uit te persen
7,1,In de winkel is het te koop mét en zonder vruchtvlees
7,2,"Vers sinaasappelsap heeft over het algemeen een fruitig- zure smaak, en bevat veel vitamine C Soms kan het ook een erg zoete smaak hebben, als er suiker aan toegevoegd wordt, en het is ook afhankelijk van hoe rijp de sinaasappel is"
7,3,Men kan sinaasappelsap ook zelf maken door met een citruspers sinaasappels uit te persen
7,4,"De grootste exporteur van sinaasappelsap is Brazilië, gevolgd door de Verenigde Staten en Spanje"
7,5,Voor transport wordt vrijwel al het water uit het sap verdampt zodat een concentraat ontstaat
7,6,De smaakstoffen worden bovendien gescheiden van het fruitpulp; deze concentraten worden diepgevroren en gescheiden van het pulp vervoerd
7,7,Op de plek van bestemming worden de concentraten met water verdund tot de originele samenstelling
7,8,"Hoewel op verpakkingen 'vers geperst' of 'vers geplukt' mag staan, wordt sap vrijwel niet als onbewerkt sap internationaal vervoerd"
8,0,Een imker is iemand die zich bezighoudt met de bijenteelt: de domesticatie en exploitatie van honingbijen ten behoeve van de bestuiving van planten of de winning van honing en bijenwas
8,1,"De eerste berichten van bijenteelt dateren uit het Oude Egypte, en in de klassieke oudheid was het houden van bijen algemeen verspreid"
8,2,Deze vroegste vormen van bijenteelt bestonden uit het vangen van bijenzwermen in uitgeholde boomstammen of aardewerken buizen
8,3,Voor het verstevigen van de honingraten werden in de holten kruizen of raten geplaatst
8,4,"Voor het verzamelen van honing werden lange nauwe uithollingen gebruikt, en was het ook nodig de bijenkolonie te vernietigen"
8,5,Tot in de twintigste eeuw werden bijen in gevlochten bijenkorven gehouden
8,6,De methode van honing oogsten bleef hetzelfde
8,7,"Omdat het bijenvolk daarvoor gedood moest worden, werd het uitzwermen aangemoedigd om aan nieuwe volken te komen"
8,8,De introductie van de bijenkast met verwisselbare ramen in de negentiende eeuw zorgde voor een radicale breuk met het verleden
8,9,"Het was nu mogelijk afzonderlijke raten uit de kasten te halen, dat maakte het oogsten van honing eenvoudig en het uitroeien van bijenvolken overbodig"
9,0,Een nationale vlag is een vlag die een land vertegenwoordigt
9,1,"De vlag wordt gevlogen door de overheid, maar kan meestal ook uitgehangen worden door de burgers van dat land"
9,2,In het verleden ontstonden vlaggen om op het slagveld vriend van vijand te onderscheiden
9,3,"Het voeren van vlaggen om het land van oorsprong te onderscheiden, buiten gevechtshandelingen om, ontstond toen de marinevlag werd ingevoerd tijdens het zeilvaarttijdperk, in de vroege 17e eeuw"
9,4,"De meeste landen van Europa namen een nationale vlag aan in de loop van de 19e en vroege 20e eeuw, vaak gebaseerd op oudere Middeleeuwse oorlogsvlaggen"
