Text_ID,Sentence_Number,text
0,0,Янус — бог всех начинаний и переходов в древнеримской религии и мифологии
0,1,"Он имеет двоякую природу, и его обычно изображают двуликим, так как он смотрит и в будущее, и в прошлое"
0,2,"Янусу были подвластны начало и конец всякого конфликта, а значит — война и мир Ворота его храма были открыты во время войны и закрыты в мирное время"
0,3,Януса как бога ворот также связывали с входом и выходом из дома
0,4,"Янус часто символизировал изменения и переходы, например, переход из одного состояния в другое, от одного мировоззрения к другому, от юности к зрелости"
0,5,"Поэтому Янусу поклонялись перед сбором и посевом урожая, а также во время бракосочетаний, похорон и разных начинаний"
0,6,"У Януса не было своих жрецов, зато его церемонии отправлял сам верховный жрец"
0,7,"Янус олицетворял золотую середину между варварством и цивилизацией, деревней и городом, юностью и зрелостью"
0,8,"У древних греков не было бога, подобного Янусу, и римляне провозглашали его исключительно своим божеством"
1,0,"Жест «шака» — это знак дружеских намерений, который часто связывают с Гавайями и сёрф- культурой"
1,1,"Чтобы показать этот жест, нужно оттопырить большой палец и мизинец и прижать к ладони указательный, средний и безымянный пальцы, повернув ладонь передней или тыльной стороной к собеседнику"
1,2,Для большей выразительности ладонь покачивают взад- вперёд
1,3,Жест «шака» был заимствован из традиционной гавайской культуры приезжими сёрферами в шестидесятых годах прошлого века и затем получил распространение по всему миру
1,4,"В основном этот жест используют для приветствия, но им также можно выразить благодарность, поддержку или даже похвалу"
1,5,"Жители Гавайев используют шака, чтобы передать «дух Алоха»: идею дружбы, понимания, сострадания и солидарности между различными народами, живущими на Гавайях"
1,6,"Хотя точное происхождение знака неясно, некоторые предполагают, что он произошёл от испанских иммигрантов: они прижимали четыре пальца к ладони и прикладывали оттопыренный большой палец к губам в качестве дружеского жеста, изображая, что выпивают вместе с местными жителями"
2,0,В профессиональном спорте допингом называют применение спортсменами запрещенных стимулирующих веществ
2,1,"Термин «допинг» широко используется организациями, регулирующими проведение спортивных соревнований"
2,2,"Использование стимулирующих веществ для улучшения спортивных показателей, как правило, считается неэтичным и поэтому запрещено большинством международных спортивных организаций, включая Международный Олимпийский Комитет"
2,3,"Более того, спортсмены, которые прикладывают явные усилия, чтобы избежать разоблачения, усугубляют нарушение этических принципов открытым обманом и мошенничеством"
2,4,"Несмотря на недавнюю популярность этой темы в газетных заголовках, допинг — явление не новое, а такое же древнее, как и сам спорт Начиная с древних гонок на колесницах и до недавних скандалов в бейсболе и велоспорте, взгляды спортсменов постоянно менялись в зависимости от эпохи"
2,5,В последние десятилетия государственные органы и спортивные организации стараются строго контролировать использование стимулирующих веществ в спорте
2,6,"Главные причины для запрета – это вред стимулирующих веществ для здоровья, обеспечение равных возможностей для спортсменов и положительный пример, который спорт без допинга подаёт общественности"
2,7,"Антидопинговые организации постоянно подчёркивают, что использование стимулирующих веществ противоречит духу спорта"
3,0,"Тилацин — вымерший вид сумчатых млекопитающих, самый крупный из плотоядных сумчатых современности"
3,1,Тилацина часто называют тасманийским тигром из- за его полосатой спины или сумчатым волком из- за сходства его облика и повадок с волчьими
3,2,"Этот вид водился в материковой Австралии, Тасмании и Новой Гвинее, и, как полагают, вымер в двадцатом веке"
3,3,"Тилацин был одним из двух известных науке видов, у которых сумка есть не только у самок, но и у самцов"
3,4,Сумка самцов тилацина защищала их репродуктивные органы во время охоты в густом кустарнике
3,5,"Считается, что тилацин был грозным хищником, так как он успешно охотился и выживал в тех местах, где было очень мало добычи"
