Text_ID,Sentence_Number,text
0,0,"Antik Roma inanışlarında ve mitlerinde, Janus başlangıçların ve kapıların tanrısıdır"
0,1,"Onun çift taraflı bir doğası vardır ve genellikle iki yüzü var olarak resmedilir, çünkü o geçmişe ve geleceğe bakar"
0,2,"Janus, anlaşmazlıkların başlamasını ve bitmesini kontrol ederdi ve dolayısıyla savaş ve barışı"
0,3,Onun tapınağının kapıları savaş zamanında açık ve barış sırasında kapalıydı
0,4,"Kapıların tanrısı olarak, o aynı zamanda evlerin kapılarının giriş ve çıkışlarıyla da ilişkilendirildi"
0,5,"Janus, sıklıkla değişimi ve dönüşümü sembolize etti, örneğin bir durumdan diğerine, bir bakıştan diğerine, genç insanların yetişkinliğe büyümesi gibi"
0,6,"Bu yüzden, Janus’a hasat ve ekin zamanlarında ve buna ilaveten düğünlerde, ölümlerde ve diğer başlangıçlarda ibadet edildi"
0,7,"Janus’a tahsis edilmiş özel bir keşiş yoktu, fakat en üst düzey keşiş olarak seremonilerini kendisi gerçekleştirdi"
0,8,"Janus barbarlık ve medeniyet, kırsal ve kentsel alan, gençlik ve yetişkinlik arasındaki orta yeri temsil etti"
0,9,"Antik Yunanlıların Janus’a, ki Romalılar belirgin olarak kendilerine ait olduğunu iddia etmişlerdir, eşdeğeri yoktu"
1,0,"Shaka işareti, daha çok Hawaii ve sörf kültürüyle ilişkilendirilen bir el hareketidir"
1,1,"Bu hareket, baş parmak ve serçe parmak açık; diğer üç parmağın kapalı ve kıvrılmış durumda bulunması ve elin kendi ekseninde ileri geri oynatılmasıyla oluşur"
1,2,"Shaka işareti, altmışlarda Hawaii’yi ziyaret eden sörfçülerin benimseyip kendi kültürlerinin bir parçası haline getirmesiyle dünyaya yayılmıştır"
1,3,"Çoğunlukla selamlamak, teşekkür etmek, onaylamak ve hatta övgü ifade etmek için kullanılır"
1,4,"Hawaii sakinleri bu el hareketini komşu ülkeler ve sınırdaki çeşitli etnik kültürlerle iletişimlerinde dostluk, anlayış ve merhamet kavramı olan “Aloha Ruhu”nu yaymak için kullanır"
1,5,Aynı zamanda birbirlerinin dillerini tercüme etmek yerine ortak bir yerde buluşmak için bu işareti seçtiler
1,6,"İşaretin tam kökeni bilinmese de bazıları kökeninin İspanyol göçmenlerin Hawaii’de tanıştıkları yerlilere bu işareti arkadaşça içki içmeyi teklif etmek için, baş parmağı ağıza doğru götürerek, kullanmasından yayıldığını düşünmektedir"
2,0,"Rekabete dayalı sporlarda, doping sportif performansı artırmak amacıyla yasaklanmış maddenin atletik yarışmacılar tarafından kullanılmasıdır"
2,1,Doping terimi sportif yarışmaları düzenleyen organizasyonlar tarafından yaygın olarak kullanılır
2,2,"Performansı arttırmak amacıyla madde kullanımı çoğunlukla etik dışı olarak değerlendirilir, ve bu sebeple Uluslararası Olimpik Komitenin de içinde olduğu bir çok uluslararası spor organizasyonu tarafından yasaklanmıştır"
2,3,"Buna ek olarak, tespitten kaçınmak için açıkça önlemler alan sporcular, dolandırıcılık ve hilekarlıkla etiği açıkça ihlal etmekle durumu kötüleştirirler"
2,4,"Son zamanlarda manşetlerde yaygın olmasına rağmen, doping yeni bir olay değil- aslında, sporun kendisi kadar eski"
2,5,"Antik iki tekerlekli at arabası yarışlarında madde kullanımından, beyzbol ve bisikletçilikteki daha yakın anlaşmazlıklara, atletler arasındaki popular görüş yıllar içerisinde çeşitlilik gösterdi"
2,6,"Yakın on yıllarda, otoriteler ve spor organizasyonları sporda madde kullanımını sıkıca kontrol etmeyi deniyorlar"
2,7,"Bu yasaklamanın öncelikli nedenleri performans arttırıcı ilaçların sağlık riskleri, atletler için fırsat eşitliği ve ilaçsız sporların kamuya olumlu örnek oluşturmasıdır"
