	Text_ID	Word_Number	Sentence_Number	Word_In_Sentence_Number	Word	Word_Cleaned
	1	1	1	1	There	there
1	1	2	1	2	are	are
2	1	3	1	3	now	now
3	1	4	1	4	rumblings	rumblings
4	1	5	1	5	that	that
5	1	6	1	6	Apple	apple
6	1	7	1	7	might	might
7	1	8	1	8	soon	soon
8	1	9	1	9	invade	invade
9	1	10	1	10	the	the
10	1	11	1	11	smart	smart
11	1	12	1	12	watch	watch
12	1	13	1	13	"space,"	space
13	1	14	1	14	though	though
14	1	15	1	15	the	the
15	1	16	1	16	company	company
16	1	17	1	17	is	is
17	1	18	1	18	maintaining	maintaining
18	1	19	1	19	its	its
19	1	20	1	20	customary	customary
20	1	21	1	21	silence.	silence
21	1	22	2	1	The	the
22	1	23	2	2	watch	watch
23	1	24	2	3	doesn't	doesn't
24	1	25	2	4	have	have
25	1	26	2	5	a	a
26	1	27	2	6	microphone	microphone
27	1	28	2	7	or	or
28	1	29	2	8	"speaker,"	speaker
29	1	30	2	9	but	but
30	1	31	2	10	you	you
31	1	32	2	11	can	can
32	1	33	2	12	use	use
33	1	34	2	13	it	it
34	1	35	2	14	to	to
35	1	36	2	15	control	control
36	1	37	2	16	the	the
37	1	38	2	17	music	music
38	1	39	2	18	on	on
39	1	40	2	19	your	your
40	1	41	2	20	phone.	phone
41	1	42	3	1	You	you
42	1	43	3	2	can	can
43	1	44	3	3	glance	glance
44	1	45	3	4	at	at
45	1	46	3	5	the	the
46	1	47	3	6	watch	watch
47	1	48	3	7	face	face
48	1	49	3	8	to	to
49	1	50	3	9	view	view
50	1	51	3	10	the	the
51	1	52	3	11	artist	artist
52	1	53	3	12	and	and
53	1	54	3	13	title	title
54	1	55	3	14	of	of
55	1	56	3	15	a	a
56	1	57	3	16	song.	song
	2	1	1	1	Two	two
58	2	2	1	2	days	days
59	2	3	1	3	"later,"	later
60	2	4	1	4	the	the
61	2	5	1	5	British	british
62	2	6	1	6	astronomer	astronomer
63	2	7	1	7	Richard	richard
64	2	8	1	8	Carrington	carrington
65	2	9	1	9	was	was
66	2	10	1	10	observing	observing
67	2	11	1	11	the	the
68	2	12	1	12	interesting	interesting
69	2	13	1	13	sunspot	sunspot
70	2	14	1	14	group	group
71	2	15	1	15	through	through
72	2	16	1	16	his	his
73	2	17	1	17	telescope	telescope
74	2	18	1	18	when	when
75	2	19	1	19	he	he
76	2	20	1	20	saw	saw
77	2	21	1	21	what	what
78	2	22	1	22	he	he
79	2	23	1	23	described	described
80	2	24	1	24	as	as
81	2	25	1	25	"""two"	two
82	2	26	1	26	patches	patches
83	2	27	1	27	of	of
84	2	28	1	28	intensely	intensely
85	2	29	1	29	bright	bright
86	2	30	1	30	and	and
87	2	31	1	31	white	white
88	2	32	1	32	"light"""	light
89	2	33	1	33	over	over
90	2	34	1	34	the	the
91	2	35	1	35	sunspots.	sunspots
92	2	36	2	1	He	he
93	2	37	2	2	jotted	jotted
94	2	38	2	3	a	a
95	2	39	2	4	note	note
96	2	40	2	5	in	in
97	2	41	2	6	his	his
98	2	42	2	7	painstaking	painstaking
99	2	43	2	8	record.	record
100	2	44	3	1	That	that
101	2	45	3	2	night	night
102	2	46	3	3	there	there
103	2	47	3	4	was	was
104	2	48	3	5	scarcely	scarcely
105	2	49	3	6	a	a
106	2	50	3	7	square	square
