"","Text_ID","Sentence_Number","text","Word_idx"
"1",1,1,"anne",1
"2",1,1,"lost",2
"3",1,1,"control",3
"4",1,1,"and",4
"5",1,1,"laughed",5
"6",2,2,"billy",1
"7",2,2,"wrote",2
"8",2,2,"on",3
"9",2,2,"the",4
"10",2,2,"envelope",5
"11",3,3,"he",1
"12",3,3,"called",2
"13",3,3,"over",3
"14",3,3,"his",4
"15",3,3,"shoulder",5
"16",4,4,"he",1
"17",4,4,"stayed",2
"18",4,4,"against",3
"19",4,4,"the",4
"20",4,4,"wall",5
"21",5,5,"helen",1
"22",5,5,"ran",2
"23",5,5,"to",3
"24",5,5,"the",4
"25",5,5,"toilet",5
"26",6,6,"i",1
"27",6,6,"cannot",2
"28",6,6,"tell",3
"29",6,6,"you",4
"30",6,6,"more",5
"31",7,7,"michael",1
"32",7,7,"gave",2
"33",7,7,"adam",3
"34",7,7,"two",4
"35",7,7,"pounds",5
"36",8,8,"roger",1
"37",8,8,"smiled",2
"38",8,8,"and",3
"39",8,8,"sat",4
"40",8,8,"down",5
"41",9,9,"things",1
"42",9,9,"were",2
"43",9,9,"looking",3
"44",9,9,"up",4
"45",9,9,"again",5
"46",10,10,"this",1
"47",10,10,"man's",2
"48",10,10,"hair",3
"49",10,10,"is",4
"50",10,10,"black",5
"51",11,11,"turn",1
"52",11,11,"your",2
"53",11,11,"hearing",3
"54",11,11,"aid",4
"55",11,11,"up",5
"56",12,12,"you'll",1
"57",12,12,"demand",2
"58",12,12,"nothing",3
"59",12,12,"of",4
"60",12,12,"me",5
"61",13,13,"a",1
"62",13,13,"horse",2
"63",13,13,"has",3
"64",13,13,"thrown",4
"65",13,13,"a",5
"66",13,13,"shoe",6
"67",14,14,"a",1
"68",14,14,"tube",2
"69",14,14,"train",3
"70",14,14,"took",4
"71",14,14,"his",5
"72",14,14,"legs",6
"73",15,15,"five",1
"74",15,15,"will",2
"75",15,15,"be",3
"76",15,15,"listening",4
"77",15,15,"for",5
"78",15,15,"sure",6
"79",16,16,"gordon",1
"80",16,16,"felt",2
"81",16,16,"his",3
"82",16,16,"anger",4
"83",16,16,"build",5
"84",16,16,"up",6
"85",17,17,"harry",1
"86",17,17,"smiled",2
"87",17,17,"at",3
"88",17,17,"his",4
"89",17,17,"little",5
"90",17,17,"brother",6
"91",18,18,"he",1
"92",18,18,"needed",2
"93",18,18,"putting",3
"94",18,18,"in",4
"95",18,18,"his",5
"96",18,18,"place",6
"97",19,19,"he",1
"98",19,19,"shouted",2
"99",19,19,"and",3
"100",19,19,"the",4
"101",19,19,"calling",5
"102",19,19,"ceased",6
"103",20,20,"he",1
"104",20,20,"uses",2
"105",20,20,"his",3
"106",20,20,"belt",4
"107",20,20,"on",5
"108",20,20,"you",6
"109",21,21,"he's",1
"110",21,21,"broken",2
"111",21,21,"his",3
"112",21,21,"wrists",4
"113",21,21,"very",5
"114",21,21,"badly",6
"115",22,22,"i",1
"116",22,22,"am",2
"117",22,22,"touched",3
"118",22,22,"deeply",4
"119",22,22,"in",5
"120",22,22,"places",6
"121",23,23,"i",1
"122",23,23,"don't",2
"123",23,23,"want",3
"124",23,23,"to",4
"125",23,23,"hear",5
"126",23,23,"it",6
"127",24,24,"i",1
"128",24,24,"knew",2
"129",24,24,"i",3
"130",24,24,"heard",4
"131",24,24,"your",5
"132",24,24,"voice",6
"133",25,25,"i",1
"134",25,25,"wouldn't",2
"135",25,25,"want",3
"136",25,25,"to",4
"137",25,25,"miss",5
"138",25,25,"this",6
"139",26,26,"jack",1
"140",26,26,"walked",2
"141",26,26,"up",3
"142",26,26,"to",4
"143",26,26,"the",5
"144",26,26,"door",6
"145",27,27,"ross",1
"146",27,27,"sat",2
"147",27,27,"back",3
"148",27,27,"down",4
"149",27,27,"and",5
"150",27,27,"shivered",6
"151",28,28,"she",1
"152",28,28,"couldn't",2
"153",28,28,"help",3
"154",28,28,"feel",4
"155",28,28,"for",5
"156",28,28,"alex",6
"157",29,29,"the",1
"158",29,29,"bored",2
"159",29,29,"looking",3
"160",29,29,"soldier",4
"161",29,29,"just",5
"162",29,29,"pointed",6
"163",30,30,"the",1
"164",30,30,"campaign",2
"165",30,30,"will",3
"166",30,30,"pay",4
"167",30,30,"for",5
"168",30,30,"itself",6
"169",31,31,"they're",1
"170",31,31,"riding",2
"171",31,31,"out",3
"172",31,31,"to",4
"173",31,31,"meet",5
"174",31,31,"them",6
"175",32,32,"we",1
"176",32,32,"barely",2
"177",32,32,"escaped",3
"178",32,32,"with",4
